user.id,user.name,product.id,product.name,product.price,review.score
User0653,W. Soh,Prod0100,PlasmaCar Blue,15.12,5
User1043,Leah,Prod0100,PlasmaCar Blue,15.12,5
User0022,"karaoke ""music lover""",Prod0100,PlasmaCar Blue,15.12,5
User2028,"P. Tackett ""desert fox""",Prod0100,PlasmaCar Blue,15.12,5
User2014,B. Goodman,Prod0100,PlasmaCar Blue,15.12,5
User1784,Chau Q. Bui,Prod0100,PlasmaCar Blue,15.12,5
User1879,B. Pace,Prod0100,PlasmaCar Blue,15.12,5
User2530,Latasha N. Davis,Prod0100,PlasmaCar Blue,15.12,5
User0708,5 Channel Man,Prod0100,PlasmaCar Blue,15.12,5
User2557,Gaston,Prod0100,PlasmaCar Blue,15.12,5
User0365,M. D. Haden,Prod0100,PlasmaCar Blue,15.12,5
User0981,J. Nelson,Prod0100,PlasmaCar Blue,15.12,5
User1888,Guy Kirkby Jr.,Prod0100,PlasmaCar Blue,15.12,5
User2259,Robert,Prod0100,PlasmaCar Blue,15.12,5
User0183,Aussie Oggie,Prod0100,PlasmaCar Blue,15.12,4
User1764,R. Hunt,Prod0100,PlasmaCar Blue,15.12,5
User1383,anonymous,Prod0100,PlasmaCar Blue,15.12,4
User2589,Kyle J. Chadek,Prod0100,PlasmaCar Blue,15.12,5
User2477,Amazonted,Prod0100,PlasmaCar Blue,15.12,4
User1089,"J. Ball ""Jithero""",Prod0100,PlasmaCar Blue,15.12,5
User0795,CBourgeois,Prod0100,PlasmaCar Blue,15.12,5
User0814,"D. DeBruler ""writer4life""",Prod0100,PlasmaCar Blue,15.12,5
User1322,Tatiana Montenegro,Prod0100,PlasmaCar Blue,15.12,5
User2031,"queenforever ""gadgetfreak""",Prod0100,PlasmaCar Blue,15.12,5
User1854,Fel Angel,Prod0100,PlasmaCar Blue,15.12,5
User1821,T. Harward,Prod0100,PlasmaCar Blue,15.12,5
User0788,Cha Vang,Prod0100,PlasmaCar Blue,15.12,5
User0217,Tom,Prod0100,PlasmaCar Blue,15.12,5
User1885,Katie Graham,Prod0100,PlasmaCar Blue,15.12,5
User0427,mkniser,Prod0100,PlasmaCar Blue,15.12,5
User0481,"P. Martinez ""Peter""",Prod0100,PlasmaCar Blue,15.12,5
User1259,"Michael A. Rammel ""sixxstring""",Prod0100,PlasmaCar Blue,15.12,5
User0737,Siddharth,Prod0100,PlasmaCar Blue,15.12,5
User1477,TheRealDeal,Prod0100,PlasmaCar Blue,15.12,5
User1294,solarain,Prod0100,PlasmaCar Blue,15.12,5
User0719,Nigel,Prod0100,PlasmaCar Blue,15.12,5
User1904,MFR426,Prod0100,PlasmaCar Blue,15.12,5
User2595,TheCommish16,Prod0100,PlasmaCar Blue,15.12,5
User0023,Handsome Johnny,Prod0100,PlasmaCar Blue,15.12,5
User1262,monica,Prod0100,PlasmaCar Blue,15.12,5
User0986,"LE ""LE""",Prod0100,PlasmaCar Blue,15.12,5
User0035,"Amy L. McLean ""scrabl1""",Prod0100,PlasmaCar Blue,15.12,5
User0660,Ordinary guy,Prod0100,PlasmaCar Blue,15.12,5
User0390,MJ,Prod0100,PlasmaCar Blue,15.12,5
User0730,geezer,Prod0100,PlasmaCar Blue,15.12,5
User0847,Basiledes,Prod0100,PlasmaCar Blue,15.12,5
User1743,HS,Prod0100,PlasmaCar Blue,15.12,5
User2159,Reefbeach,Prod0100,PlasmaCar Blue,15.12,5
User1593,"Isaias Carrillo ""Isaiascar""",Prod0100,PlasmaCar Blue,15.12,3
User0471,A. Mefford,Prod0100,PlasmaCar Blue,15.12,4
User1748,Stacie,Prod0100,PlasmaCar Blue,15.12,5
User0526,Amber,Prod0100,PlasmaCar Blue,15.12,5
User2269,Johnny Goodrum,Prod0100,PlasmaCar Blue,15.12,5
User1552,Speed,Prod0100,PlasmaCar Blue,15.12,5
User0208,J.C. Terrazas,Prod0100,PlasmaCar Blue,15.12,5
User1263,Drew Larck,Prod0100,PlasmaCar Blue,15.12,5
User0335,DMANBASS,Prod0100,PlasmaCar Blue,15.12,5
User0636,jb,Prod0100,PlasmaCar Blue,15.12,5
User2184,"Rick Holly ""Rick Holly""",Prod0100,PlasmaCar Blue,15.12,5
User1122,"Gary B. Gray ""oystre""",Prod0100,PlasmaCar Blue,15.12,5
User0573,"Alan Hosp ""1_ER_RN""",Prod0100,PlasmaCar Blue,15.12,5
User0325,"Richard Morris ""Danbo""",Prod0100,PlasmaCar Blue,15.12,5
User0998,Arie Gibson,Prod0100,PlasmaCar Blue,15.12,5
User2613,"RazzSpew10 ""Rev. Neo Gnostic""",Prod0100,PlasmaCar Blue,15.12,5
User1280,ck,Prod0100,PlasmaCar Blue,15.12,5
User2156,Arty,Prod0100,PlasmaCar Blue,15.12,5
User2115,Keith Seivers,Prod0100,PlasmaCar Blue,15.12,5
